TalentName, TalentDescription, TalentRank, TalentType,Class,Subclass,,,,,
Restore,"""The player can restore 1 Rank 3, 2 Rank 2s, 3 Rank 1s, or 3 rankless talents of the target.""",3,Ability,Cleric,Soothsayer,,,,," (N'Restore', N'""The player can restore 1 Rank 3, 2 Rank 2s, 3 Rank 1s, or 3 rankless talents of the target.""', 3, N'Ability', N'Cleric', N'Soothsayer'),"
Safeguard,"""The player calls “safeguard” on a target. The target can then activate safeguard to return to the player while invulnerable. If the target dies the talent activates automatically.""",0,Ability,Cleric,Soothsayer,,,,," (N'Safeguard', N'""The player calls “safeguard” on a target. The target can then activate safeguard to return to the player while invulnerable. If the target dies the talent activates automatically.""', 0, N'Ability', N'Cleric', N'Soothsayer'),"
Protective Ward,"""Allows the player to make 2 wards. All wards have a cornerstone effect of the player's choosing.""",1,Skill,Cleric,Paladin,,,,," (N'Protective Ward', N'""Allows the player to make 2 wards. All wards have a cornerstone effect of the player's choosing.""', 1, N'Skill', N'Cleric', N'Paladin'),"
Protective Ward,"""Allows the player to make a total of 3 wards. All wards gain a secondary effect that can be any from the list they can swap out before going on a quest.""",2,Skill,Cleric,Paladin,,,,," (N'Protective Ward', N'""Allows the player to make a total of 3 wards. All wards gain a secondary effect that can be any from the list they can swap out before going on a quest.""', 2, N'Skill', N'Cleric', N'Paladin'),"
Protective Ward,"""Allows the player to make a total of 4 wards. All wards gain a masterwork effect made by the player.""",3,Skill,Cleric,Paladin,,,,," (N'Protective Ward', N'""Allows the player to make a total of 4 wards. All wards gain a masterwork effect made by the player.""', 3, N'Skill', N'Cleric', N'Paladin'),"
Unbreakable,"""Gives a DR1 and lowers the target’s swing by 1.""",1,Skill,Cleric,Paladin,,,,," (N'Unbreakable', N'""Gives a DR1 and lowers the target’s swing by 1.""', 1, N'Skill', N'Cleric', N'Paladin'),"
Unbreakable,"""Gives a DR2 and lowers the target’s swing by 1.""",2,Skill,Cleric,Paladin,,,,," (N'Unbreakable', N'""Gives a DR2 and lowers the target’s swing by 1.""', 2, N'Skill', N'Cleric', N'Paladin'),"
Unbreakable,"""Gives a DR10 and lowers the target’s swing by 4.""",3,Skill,Cleric,Paladin,,,,," (N'Unbreakable', N'""Gives a DR10 and lowers the target’s swing by 4.""', 3, N'Skill', N'Cleric', N'Paladin'),"
Challenge,"""The player forces a target to only attack the player until the target or player dies or until the target is attacked by another ally.""",1,Ability,Cleric,Paladin,,,,," (N'Challenge', N'""The player forces a target to only attack the player until the target or player dies or until the target is attacked by another ally.""', 1, N'Ability', N'Cleric', N'Paladin'),"
Challenge,"""The player forces all targets within a 5’ radius to only attack the player until the target or player dies or until the target(s) is attacked by another ally.""",2,Ability,Cleric,Paladin,,,,," (N'Challenge', N'""The player forces all targets within a 5’ radius to only attack the player until the target or player dies or until the target(s) is attacked by another ally.""', 2, N'Ability', N'Cleric', N'Paladin'),"
Challenge,"""The player forces all targets to only attack the player until the target or player dies or until the target(s) is attacked by another ally.""",3,Ability,Cleric,Paladin,,,,," (N'Challenge', N'""The player forces all targets to only attack the player until the target or player dies or until the target(s) is attacked by another ally.""', 3, N'Ability', N'Cleric', N'Paladin'),"
Charisma,"""Makes a target inclined to believe or approve.""",1,Ability,Noble,BaseNoble,,,,," (N'Charisma', N'""Makes a target inclined to believe or approve.""', 1, N'Ability', N'Noble', N'BaseNoble'),"
Charisma,"""Makes a target strongly inclined to believe or approve.""",2,Ability,Noble,BaseNoble,,,,," (N'Charisma', N'""Makes a target strongly inclined to believe or approve.""', 2, N'Ability', N'Noble', N'BaseNoble'),"
Charisma,"""Makes a target strongly compelled to believe or approve.""",3,Ability,Noble,BaseNoble,,,,," (N'Charisma', N'""Makes a target strongly compelled to believe or approve.""', 3, N'Ability', N'Noble', N'BaseNoble'),"
Decorum,"""The player can take back spoken words or grab the attention of a target.""",1,Ability,Noble,BaseNoble,,,,," (N'Decorum', N'""The player can take back spoken words or grab the attention of a target.""', 1, N'Ability', N'Noble', N'BaseNoble'),"
Decorum,"""The player can force two targets to stop fighting or grab the attention of a small group of people.""",2,Ability,Noble,BaseNoble,,,,," (N'Decorum', N'""The player can force two targets to stop fighting or grab the attention of a small group of people.""', 2, N'Ability', N'Noble', N'BaseNoble'),"
Decorum,"""The player can take back any non-heinous action or make any-sized group of people stop and listen to you.""",3,Ability,Noble,BaseNoble,,,,," (N'Decorum', N'""The player can take back any non-heinous action or make any-sized group of people stop and listen to you.""', 3, N'Ability', N'Noble', N'BaseNoble'),"
Income,"""The player's Ludus income is increased by 125 copper.""",0,Ability,Noble,BaseNoble,,,,," (N'Income', N'""The player's Ludus income is increased by 125 copper.""', 0, N'Ability', N'Noble', N'BaseNoble'),"
Tactician,"""The player can tell a party member to use one of their rank 1 abilities free of cost. The called ability must be the next talent used for the free cost to take effect.""",1,Ability,Noble,BaseNoble,,,,," (N'Tactician', N'""The player can tell a party member to use one of their rank 1 abilities free of cost. The called ability must be the next talent used for the free cost to take effect.""', 1, N'Ability', N'Noble', N'BaseNoble'),"
Tactician,"""The player can tell a party member to use one of their rank 2 abilities free of cost. The called ability must be the next talent used for the free cost to take effect.""",2,Ability,Noble,BaseNoble,,,,," (N'Tactician', N'""The player can tell a party member to use one of their rank 2 abilities free of cost. The called ability must be the next talent used for the free cost to take effect.""', 2, N'Ability', N'Noble', N'BaseNoble'),"
Tactician,"""The player can tell a party member to use one of their rank 3 abilities free of cost. The called ability must be the next talent used for the free cost to take effect.""",3,Ability,Noble,BaseNoble,,,,," (N'Tactician', N'""The player can tell a party member to use one of their rank 3 abilities free of cost. The called ability must be the next talent used for the free cost to take effect.""', 3, N'Ability', N'Noble', N'BaseNoble'),"
Training,"""Allows the player to learn 1 rankless Warrior ability.""",0,Skill,Noble,BaseNoble,,,,," (N'Training', N'""Allows the player to learn 1 rankless Warrior ability.""', 0, N'Skill', N'Noble', N'BaseNoble'),"
Advanced Training,"""Lets the player purchase one of the following Warrior Title at the cost of a skill: Armor Category Titles, Support Category Titles, Shield Fighter""",0,Skill,Noble,Knight,,,,," (N'Advanced Training', N'""Lets the player purchase one of the following Warrior Title at the cost of a skill: Armor Category Titles, Support Category Titles, Shield Fighter""', 0, N'Skill', N'Noble', N'Knight'),"
Squire,"""Can carry up to 2 weight or 1 suit of armor and can change to that armor in 5 seconds.""",1,Skill,Noble,Knight,,,,," (N'Squire', N'""Can carry up to 2 weight or 1 suit of armor and can change to that armor in 5 seconds.""', 1, N'Skill', N'Noble', N'Knight'),"
Squire,"""Can carry up to 4 weight or 2 suits of armor and can change to that armor in 5 seconds.""",2,Skill,Noble,Knight,,,,," (N'Squire', N'""Can carry up to 4 weight or 2 suits of armor and can change to that armor in 5 seconds.""', 2, N'Skill', N'Noble', N'Knight'),"
Squire,"""Can carry up to 6 weight or 3 suits of armor and can change to that armor instantly.""",3,Skill,Noble,Knight,,,,," (N'Squire', N'""Can carry up to 6 weight or 3 suits of armor and can change to that armor instantly.""', 3, N'Skill', N'Noble', N'Knight'),"
Hardened,"""Adds DR 1 to a target.""",1,Ability,Noble,Knight,,,,," (N'Hardened', N'""Adds DR 1 to a target.""', 1, N'Ability', N'Noble', N'Knight'),"
Hardened,"""Adds DR 2 to a target.""",2,Ability,Noble,Knight,,,,," (N'Hardened', N'""Adds DR 2 to a target.""', 2, N'Ability', N'Noble', N'Knight'),"
Hardened,"""Adds DR 2 to the Knight’s Team.""",3,Ability,Noble,Knight,,,,," (N'Hardened', N'""Adds DR 2 to the Knight’s Team.""', 3, N'Ability', N'Noble', N'Knight'),"
Morale,"""Adds 5 HP to a target's max health.""",1,Ability,Noble,Knight,,,,," (N'Morale', N'""Adds 5 HP to a target's max health.""', 1, N'Ability', N'Noble', N'Knight'),"
Morale,"""Add 10 HP to a target's max health.""",2,Ability,Noble,Knight,,,,," (N'Morale', N'""Add 10 HP to a target's max health.""', 2, N'Ability', N'Noble', N'Knight'),"
Morale,"""Adds 10 HP to the Knight’s Team’s max health.""",3,Ability,Noble,Knight,,,,," (N'Morale', N'""Adds 10 HP to the Knight’s Team’s max health.""', 3, N'Ability', N'Noble', N'Knight'),"
War Cry,"""Adds 2 damage to the Knight’s Team’s next weapon attack.""",1,Ability,Noble,Knight,,,,," (N'War Cry', N'""Adds 2 damage to the Knight’s Team’s next weapon attack.""', 1, N'Ability', N'Noble', N'Knight'),"
War Cry,"""Adds 3 damage to the Knight’s Team’s next weapon attack.""",2,Ability,Noble,Knight,,,,," (N'War Cry', N'""Adds 3 damage to the Knight’s Team’s next weapon attack.""', 2, N'Ability', N'Noble', N'Knight'),"
War Cry,"""Adds 4 damage to the Knight’s Team’s next weapon attack.""",3,Ability,Noble,Knight,,,,," (N'War Cry', N'""Adds 4 damage to the Knight’s Team’s next weapon attack.""', 3, N'Ability', N'Noble', N'Knight'),"
Erudite,"""The player can pick 4 additional backgrounds.""",1,Skill,Noble,Lord,,,,," (N'Erudite', N'""The player can pick 4 additional backgrounds.""', 1, N'Skill', N'Noble', N'Lord'),"
Erudite,"""The player can pick 6 additional backgrounds.""",2,Skill,Noble,Lord,,,,," (N'Erudite', N'""The player can pick 6 additional backgrounds.""', 2, N'Skill', N'Noble', N'Lord'),"
Erudite,"""The player can call upon their scribe once per event to compile a wealth of information quickly (after one quest). Also allows the player 1 additional research topic between events.""",3,Skill,Noble,Lord,,,,," (N'Erudite', N'""The player can call upon their scribe once per event to compile a wealth of information quickly (after one quest). Also allows the player 1 additional research topic between events.""', 3, N'Skill', N'Noble', N'Lord'),"
Languages,"""Understand all common spoken languages.""",1,Skill,Noble,Lord,,,,," (N'Languages', N'""Understand all common spoken languages.""', 1, N'Skill', N'Noble', N'Lord'),"
Languages,"""Speak all common spoken languages, as well as read and write in them.""",2,Skill,Noble,Lord,,,,," (N'Languages', N'""Speak all common spoken languages, as well as read and write in them.""', 2, N'Skill', N'Noble', N'Lord'),"
Languages,"""Can understand and convey hidden intent and cultural nuance, can resist mental manipulation, and can read expressions.""",3,Skill,Noble,Lord,,,,," (N'Languages', N'""Can understand and convey hidden intent and cultural nuance, can resist mental manipulation, and can read expressions.""', 3, N'Skill', N'Noble', N'Lord'),"
Guidance,"""The player can give a target a use of a rankless or rank 1 ability that has already been used during the encounter. The target’s next talent used must be the talent received by Guidance.""",1,Ability,Noble,Lord,,,,," (N'Guidance', N'""The player can give a target a use of a rankless or rank 1 ability that has already been used during the encounter. The target’s next talent used must be the talent received by Guidance.""', 1, N'Ability', N'Noble', N'Lord'),"
Guidance,"""The player can give 2 targets a use of a rankless or rank 1, or give 1 target a use of a rank 2 ability that has already been used during the encounter.""",2,Ability,Noble,Lord,,,,," (N'Guidance', N'""The player can give 2 targets a use of a rankless or rank 1, or give 1 target a use of a rank 2 ability that has already been used during the encounter.""', 2, N'Ability', N'Noble', N'Lord'),"
Guidance,"""The player can give up to 3 targets a use of a rankless or rank 1, 2 targets a use of a rank 2, or give 1 target a use of a rank 3 ability that has already been used during the encounter.""",3,Ability,Noble,Lord,,,,," (N'Guidance', N'""The player can give up to 3 targets a use of a rankless or rank 1, 2 targets a use of a rank 2, or give 1 target a use of a rank 3 ability that has already been used during the encounter.""', 3, N'Ability', N'Noble', N'Lord'),"
Rally,"""Can give +1 base damage towards a specified unit. When the specified unit dies, the effect is removed.""",1,Ability,Noble,Lord,,,,," (N'Rally', N'""Can give +1 base damage towards a specified unit. When the specified unit dies, the effect is removed.""', 1, N'Ability', N'Noble', N'Lord'),"
Rally,"""The player can give up to 3 targets +1 base damage towards a specified unit. When the specified unit dies, the effect is removed.""",2,Ability,Noble,Lord,,,,," (N'Rally', N'""The player can give up to 3 targets +1 base damage towards a specified unit. When the specified unit dies, the effect is removed.""', 2, N'Ability', N'Noble', N'Lord'),"
Rally,"""The player can give up to 3 targets +1 base damage for the encounter.""",3,Ability,Noble,Lord,,,,," (N'Rally', N'""The player can give up to 3 targets +1 base damage for the encounter.""', 3, N'Ability', N'Noble', N'Lord'),"
Steward,"""The player can pick 1 use of any stewards to add to their retinue: Combat Steward - The player can administer a non-equipment item to friendly targets during combat via point cast twice per steward. Armor Steward - The player can register a weapon or armor to the steward. The player can swap a target’s party member’s equipment with the registered equipment after a 5-second focus. Mercantile Steward - Can purchase a copy of an item the player already has once per out-of-game day.""",0,Ability,Noble,Lord,,,,," (N'Steward', N'""The player can pick 1 use of any stewards to add to their retinue: Combat Steward - The player can administer a non-equipment item to friendly targets during combat via point cast twice per steward. Armor Steward - The player can register a weapon or armor to the steward. The player can swap a target’s party member’s equipment with the registered equipment after a 5-second focus. Mercantile Steward - Can purchase a copy of an item the player already has once per out-of-game day.""', 0, N'Ability', N'Noble', N'Lord'),"
Fletching,"""The player may choose 1 specialty ammunition to take with them. The player may choose 1 1-slot modification to learn. The player can make basic ranged weapons given the appropriate materials. The player can apply poisons to ammunition after a roleplay action.""",1,Skill,Ranger,BaseRanger,,,,," (N'Fletching', N'""The player may choose 1 specialty ammunition to take with them. The player may choose 1 1-slot modification to learn. The player can make basic ranged weapons given the appropriate materials. The player can apply poisons to ammunition after a roleplay action.""', 1, N'Skill', N'Ranger', N'BaseRanger'),"
Fletching,"""The player may choose 3 specialty ammunition to take with them. The player may choose 1 1-slot and 1 2-slot modification to learn. The player can make advanced ranged weapons given the appropriate materials. The player can attach gems to ammunition after a roleplay action.""",2,Skill,Ranger,BaseRanger,,,,," (N'Fletching', N'""The player may choose 3 specialty ammunition to take with them. The player may choose 1 1-slot and 1 2-slot modification to learn. The player can make advanced ranged weapons given the appropriate materials. The player can attach gems to ammunition after a roleplay action.""', 2, N'Skill', N'Ranger', N'BaseRanger'),"
Fletching,"""The player may choose 6 specialty ammunition to take with them. The player may choose 2 1-slot and 1 2-slot modification to learn. The player can make mythic ranged weapons given the appropriate materials.""",3,Skill,Ranger,BaseRanger,,,,," (N'Fletching', N'""The player may choose 6 specialty ammunition to take with them. The player may choose 2 1-slot and 1 2-slot modification to learn. The player can make mythic ranged weapons given the appropriate materials.""', 3, N'Skill', N'Ranger', N'BaseRanger'),"
Point Blank,"""The target stumbles and is shaken for 5 seconds.""",1,Ability,Ranger,BaseRanger,,,,," (N'Point Blank', N'""The target stumbles and is shaken for 5 seconds.""', 1, N'Ability', N'Ranger', N'BaseRanger'),"
Point Blank,"""The target stumbles and is shaken for 10 seconds.""",2,Ability,Ranger,BaseRanger,,,,," (N'Point Blank', N'""The target stumbles and is shaken for 10 seconds.""', 2, N'Ability', N'Ranger', N'BaseRanger'),"
Point Blank,"""The target stumbles and is shaken for 20 seconds.""",3,Ability,Ranger,BaseRanger,,,,," (N'Point Blank', N'""The target stumbles and is shaken for 20 seconds.""', 3, N'Ability', N'Ranger', N'BaseRanger'),"
Reveal,"""Can reveal an unseen, hidden, or disguised target, removing the effect that was obscuring them.""",0,Ability,Ranger,BaseRanger,,,,," (N'Reveal', N'""Can reveal an unseen, hidden, or disguised target, removing the effect that was obscuring them.""', 0, N'Ability', N'Ranger', N'BaseRanger'),"
Stagger,"""The target is pinned for 5 seconds.""",1,Ability,Ranger,BaseRanger,,,,," (N'Stagger', N'""The target is pinned for 5 seconds.""', 1, N'Ability', N'Ranger', N'BaseRanger'),"
Stagger,"""The target is pinned for 10 seconds.""",2,Ability,Ranger,BaseRanger,,,,," (N'Stagger', N'""The target is pinned for 10 seconds.""', 2, N'Ability', N'Ranger', N'BaseRanger'),"
Stagger,"""The target is pinned for 20 seconds.""",3,Ability,Ranger,BaseRanger,,,,," (N'Stagger', N'""The target is pinned for 20 seconds.""', 3, N'Ability', N'Ranger', N'BaseRanger'),"
Artillerist,"""Adds 1 base damage to the player’s ranged attacks.""",1,Skill,Ranger,Marksman,,,,," (N'Artillerist', N'""Adds 1 base damage to the player’s ranged attacks.""', 1, N'Skill', N'Ranger', N'Marksman'),"
Artillerist,"""Adds 2 base damage to the player’s ranged attacks.""",2,Skill,Ranger,Marksman,,,,," (N'Artillerist', N'""Adds 2 base damage to the player’s ranged attacks.""', 2, N'Skill', N'Ranger', N'Marksman'),"
Artillerist,"""Adds 4 base damage to the player’s ranged attacks.""",3,Skill,Ranger,Marksman,,,,," (N'Artillerist', N'""Adds 4 base damage to the player’s ranged attacks.""', 3, N'Skill', N'Ranger', N'Marksman'),"
Sniper,"""After focusing for 15 uninterrupted seconds, the player can point cast an attack and cannot miss their target. Cannot be stacked with other talents.""",1,Ability,Ranger,Marksman,,,,," (N'Sniper', N'""After focusing for 15 uninterrupted seconds, the player can point cast an attack and cannot miss their target. Cannot be stacked with other talents.""', 1, N'Ability', N'Ranger', N'Marksman'),"
Sniper,"""After focusing for 10 uninterrupted seconds, the player can point cast an attack and cannot miss their target. Cannot be stacked with other talents.""",2,Ability,Ranger,Marksman,,,,," (N'Sniper', N'""After focusing for 10 uninterrupted seconds, the player can point cast an attack and cannot miss their target. Cannot be stacked with other talents.""', 2, N'Ability', N'Ranger', N'Marksman'),"
Sniper,"""After focusing for 5 uninterrupted seconds, the player can point cast an attack or ability and cannot miss as long as they are aware of the target.""",3,Ability,Ranger,Marksman,,,,," (N'Sniper', N'""After focusing for 5 uninterrupted seconds, the player can point cast an attack or ability and cannot miss as long as they are aware of the target.""', 3, N'Ability', N'Ranger', N'Marksman'),"
Deadeye,"""The player’s next attack is piercing.""",1,Ability,Ranger,Marksman,,,,," (N'Deadeye', N'""The player’s next attack is piercing.""', 1, N'Ability', N'Ranger', N'Marksman'),"
Deadeye,"""The player’s next two attacks are piercing.""",2,Ability,Ranger,Marksman,,,,," (N'Deadeye', N'""The player’s next two attacks are piercing.""', 2, N'Ability', N'Ranger', N'Marksman'),"
Deadeye,"""The player’s next three attacks or until the player moves, are piercing.""",3,Ability,Ranger,Marksman,,,,," (N'Deadeye', N'""The player’s next three attacks or until the player moves, are piercing.""', 3, N'Ability', N'Ranger', N'Marksman'),"
Adaptable,"""4 damage in a 5’ AoE or 8 damage to a single target""",1,Skill,Ranger,Stalker,,,,," (N'Adaptable', N'""4 damage in a 5’ AoE or 8 damage to a single target""', 1, N'Skill', N'Ranger', N'Stalker'),"
